Group,Scenario,Generation,Category,Cor
home,0_100,21,Fathers,-0.232838857528
home,0_100,21,Female candidates,0.139775330168
home,0_100,21,Male candidates,0.136372217876
home,0_100,21,Male candidates1,0.018310097116
home,0_100,21,Mothers,0.376828730284
home,0_100,22,Fathers,-0.031663255626
home,0_100,22,Female candidates,0.136157167934
home,0_100,22,Male candidates,0.0791004489231
home,0_100,22,Male candidates1,-0.125518058034
home,0_100,22,Mothers,0.442969155111
home,0_100,23,Fathers,0.0962541069936
home,0_100,23,Female candidates,0.226703519232
home,0_100,23,Male candidates,0.0561513299818
home,0_100,23,Male candidates1,0.0703645795922
home,0_100,23,Mothers,0.525858228051
home,0_100,24,Fathers,0.560851308253
home,0_100,24,Female candidates,0.368808715682
home,0_100,24,Male candidates,0.842814714818
home,0_100,24,Male candidates1,0.325455852481
home,0_100,24,Mothers,0.641258155825
home,0_100,25,Fathers,0.676783339994
home,0_100,25,Female candidates,0.424856246947
home,0_100,25,Male candidates,0.920438808186
home,0_100,25,Male candidates1,0.418781661676
home,0_100,25,Mothers,0.648086689826
home,0_100,26,Fathers,0.768216866106
home,0_100,26,Female candidates,0.421692353943
home,0_100,26,Male candidates,0.926113464738
home,0_100,26,Male candidates1,0.231680136634
home,0_100,26,Mothers,0.623172220007
home,0_100,27,Fathers,0.870797605045
home,0_100,27,Female candidates,0.422422944753
home,0_100,27,Male candidates,0.934720742645
home,0_100,27,Male candidates1,0.147463737473
home,0_100,27,Mothers,0.572267184572
home,0_100,28,Fathers,0.905856398745
home,0_100,28,Female candidates,0.387879435951
home,0_100,28,Male candidates,0.95203787317
home,0_100,28,Male candidates1,0.396974068939
home,0_100,28,Mothers,0.587996278707
home,0_100,29,Fathers,0.921081010223
home,0_100,29,Female candidates,0.409550975783
home,0_100,29,Male candidates,0.900098780614
home,0_100,29,Male candidates1,0.309121426895
home,0_100,29,Mothers,0.583048996055
home,0_100,30,Fathers,0.892735489518
home,0_100,30,Female candidates,0.424866392293
home,0_100,30,Male candidates,0.886872895324
home,0_100,30,Male candidates1,0.415438632293
home,0_100,30,Mothers,0.577070327289
home,0_100,31,Fathers,0.814460829565
home,0_100,31,Female candidates,0.431053015756
home,0_100,31,Male candidates,0.893902651758
home,0_100,31,Male candidates1,0.387147193265
home,0_100,31,Mothers,0.574414090809
home,0_100,32,Fathers,0.777779852205
home,0_100,32,Female candidates,0.399160071074
home,0_100,32,Male candidates,0.940362420297
home,0_100,32,Male candidates1,0.206322454083
home,0_100,32,Mothers,0.578632912529
home,0_100,33,Fathers,0.85220765315
home,0_100,33,Female candidates,0.347388818802
home,0_100,33,Male candidates,0.860314755055
home,0_100,33,Male candidates1,0.156436349396
home,0_100,33,Mothers,0.574434155825
home,0_100,34,Fathers,0.850207857514
home,0_100,34,Female candidates,0.36806400494
home,0_100,34,Male candidates,0.909020254626
home,0_100,34,Male candidates1,0.268647647258
home,0_100,34,Mothers,0.570198338068
home,0_100,35,Fathers,0.870579043545
home,0_100,35,Female candidates,0.361644640378
home,0_100,35,Male candidates,0.877289947566
home,0_100,35,Male candidates1,0.356244138273
home,0_100,35,Mothers,0.556211387671
home,0_100,36,Fathers,0.874593743152
home,0_100,36,Female candidates,0.376587972023
home,0_100,36,Male candidates,0.917833677155
home,0_100,36,Male candidates1,0.180393039083
home,0_100,36,Mothers,0.548690201184
home,0_100,37,Fathers,0.895553762648
home,0_100,37,Female candidates,0.370595901815
home,0_100,37,Male candidates,0.967477851495
home,0_100,37,Male candidates1,0.252801051263
home,0_100,37,Mothers,0.550404566631
home,0_100,38,Fathers,0.912198500453
home,0_100,38,Female candidates,0.345394630627
home,0_100,38,Male candidates,0.829744978865
home,0_100,38,Male candidates1,0.24947451714
home,0_100,38,Mothers,0.551107547052
home,0_100,39,Fathers,0.916827630825
home,0_100,39,Female candidates,0.364553176811
home,0_100,39,Male candidates,0.926097808125
home,0_100,39,Male candidates1,0.168268234176
home,0_100,39,Mothers,0.551533620243
home,0_100,40,Fathers,0.875866998426
home,0_100,40,Female candidates,0.368085000516
home,0_100,40,Male candidates,0.918084581619
home,0_100,40,Male candidates1,0.375807490441
home,0_100,40,Mothers,0.54621134014
home,0_100,41,Fathers,0.56955024006
home,0_100,41,Female candidates,0.489172147801
home,0_100,41,Male candidates,0.37438819787
home,0_100,41,Mothers,0.785680507863
home,0_100,42,Fathers,0.61040713761
home,0_100,42,Female candidates,0.426862791507
home,0_100,42,Male candidates,0.723769586843
home,0_100,42,Mothers,0.737195357592
home,0_100,43,Fathers,0.723854857191
home,0_100,43,Female candidates,0.439890644713
home,0_100,43,Male candidates,0.756904375403
home,0_100,43,Mothers,0.705423873462
home,0_100,44,Fathers,0.749893838896
home,0_100,44,Female candidates,0.471776723953
home,0_100,44,Male candidates,0.65977421535
home,0_100,44,Mothers,0.685288703279
home,0_100,45,Fathers,0.771971662956
home,0_100,45,Female candidates,0.528477492704
home,0_100,45,Male candidates,0.7051630156
home,0_100,45,Mothers,0.685746018625
home,0_100,46,Fathers,0.688151243904
home,0_100,46,Female candidates,0.488196425682
home,0_100,46,Male candidates,0.71827983716
home,0_100,46,Mothers,0.695485312889
home,0_100,47,Fathers,0.681260032326
home,0_100,47,Female candidates,0.474462031862
home,0_100,47,Male candidates,0.702929973532
home,0_100,47,Mothers,0.708088477798
home,0_100,48,Fathers,0.77085621897
home,0_100,48,Female candidates,0.458933769723
home,0_100,48,Male candidates,0.566563606654
home,0_100,48,Mothers,0.713109449561
home,0_100,49,Fathers,0.644825676058
home,0_100,49,Female candidates,0.459325974483
home,0_100,49,Male candidates,0.639776051763
home,0_100,49,Mothers,0.702583666582
home,0_100,50,Fathers,0.635287277549
home,0_100,50,Female candidates,0.430430043395
home,0_100,50,Male candidates,0.623025953998
home,0_100,50,Mothers,0.691891896117
home,0_100,51,Fathers,0.756677672238
home,0_100,51,Female candidates,0.428718100908
home,0_100,51,Male candidates,0.618609980802
home,0_100,51,Mothers,0.688309417057
home,0_100,52,Fathers,0.739116509919
home,0_100,52,Female candidates,0.442631878304
home,0_100,52,Male candidates,0.693349614628
home,0_100,52,Mothers,0.678451828424
home,0_100,53,Fathers,0.724465431389
home,0_100,53,Female candidates,0.448528264142
home,0_100,53,Male candidates,0.670457479985
home,0_100,53,Mothers,0.677139016205
home,0_100,54,Fathers,0.72508418604
home,0_100,54,Female candidates,0.440453542456
home,0_100,54,Male candidates,0.667257491773
home,0_100,54,Mothers,0.67844946776
home,0_100,55,Fathers,0.649538666144
home,0_100,55,Female candidates,0.435184835835
home,0_100,55,Male candidates,0.669366189802
home,0_100,55,Mothers,0.684222493761
home,0_100,56,Fathers,0.716014387268
home,0_100,56,Female candidates,0.456465628631
home,0_100,56,Male candidates,0.715919846623
home,0_100,56,Mothers,0.680152089775
home,0_100,57,Fathers,0.786934270636
home,0_100,57,Female candidates,0.445275113213
home,0_100,57,Male candidates,0.634486414084
home,0_100,57,Mothers,0.688145645563
home,0_100,58,Fathers,0.688230759655
home,0_100,58,Female candidates,0.465449604528
home,0_100,58,Male candidates,0.722895027443
home,0_100,58,Mothers,0.691857754139
home,0_100,59,Fathers,0.726009102318
home,0_100,59,Female candidates,0.44257040475
home,0_100,59,Male candidates,0.651284562028
home,0_100,59,Mothers,0.688512958247
home,0_100,60,Fathers,0.750927630825
home,0_100,60,Female candidates,0.452550396661
home,0_100,60,Male candidates,0.727941567171
home,0_100,60,Mothers,0.690531744925
home,0_100,60,izl,0.00154323918867
home,100_100,21,Fathers,-0.232838857528
home,100_100,21,Female candidates,0.139775330168
home,100_100,21,Male candidates,0.136372217876
home,100_100,21,Male candidates1,0.018310097116
home,100_100,21,Mothers,0.376828730284
home,100_100,22,Fathers,-0.031663255626
home,100_100,22,Female candidates,0.136157167934
home,100_100,22,Male candidates,0.0791004489231
home,100_100,22,Male candidates1,-0.125518058034
home,100_100,22,Mothers,0.442969155111
home,100_100,23,Fathers,0.0962541069936
home,100_100,23,Female candidates,0.226703519232
home,100_100,23,Male candidates,0.0561513299818
home,100_100,23,Male candidates1,0.0703645795922
home,100_100,23,Mothers,0.525858228051
home,100_100,24,Fathers,0.560851308253
home,100_100,24,Female candidates,0.368808715682
home,100_100,24,Male candidates,0.842814714818
home,100_100,24,Male candidates1,0.325455852481
home,100_100,24,Mothers,0.641258155825
home,100_100,25,Fathers,0.676783339994
home,100_100,25,Female candidates,0.424856246947
home,100_100,25,Male candidates,0.920438808186
home,100_100,25,Male candidates1,0.418781661676
home,100_100,25,Mothers,0.648086689826
home,100_100,26,Fathers,0.768216866106
home,100_100,26,Female candidates,0.421692353943
home,100_100,26,Male candidates,0.926113464738
home,100_100,26,Male candidates1,0.231680136634
home,100_100,26,Mothers,0.623172220007
home,100_100,27,Fathers,0.870797605045
home,100_100,27,Female candidates,0.422422944753
home,100_100,27,Male candidates,0.934720742645
home,100_100,27,Male candidates1,0.147463737473
home,100_100,27,Mothers,0.572267184572
home,100_100,28,Fathers,0.905856398745
home,100_100,28,Female candidates,0.387879435951
home,100_100,28,Male candidates,0.95203787317
home,100_100,28,Male candidates1,0.396974068939
home,100_100,28,Mothers,0.587996278707
home,100_100,29,Fathers,0.921081010223
home,100_100,29,Female candidates,0.409550975783
home,100_100,29,Male candidates,0.900098780614
home,100_100,29,Male candidates1,0.309121426895
home,100_100,29,Mothers,0.583048996055
home,100_100,30,Fathers,0.892735489518
home,100_100,30,Female candidates,0.424866392293
home,100_100,30,Male candidates,0.886872895324
home,100_100,30,Male candidates1,0.415438632293
home,100_100,30,Mothers,0.577070327289
home,100_100,31,Fathers,0.814460829565
home,100_100,31,Female candidates,0.431053015756
home,100_100,31,Male candidates,0.893902651758
home,100_100,31,Male candidates1,0.387147193265
home,100_100,31,Mothers,0.574414090809
home,100_100,32,Fathers,0.777779852205
home,100_100,32,Female candidates,0.399160071074
home,100_100,32,Male candidates,0.940362420297
home,100_100,32,Male candidates1,0.206322454083
home,100_100,32,Mothers,0.578632912529
home,100_100,33,Fathers,0.85220765315
home,100_100,33,Female candidates,0.347388818802
home,100_100,33,Male candidates,0.860314755055
home,100_100,33,Male candidates1,0.156436349396
home,100_100,33,Mothers,0.574434155825
home,100_100,34,Fathers,0.850207857514
home,100_100,34,Female candidates,0.36806400494
home,100_100,34,Male candidates,0.909020254626
home,100_100,34,Male candidates1,0.268647647258
home,100_100,34,Mothers,0.570198338068
home,100_100,35,Fathers,0.870579043545
home,100_100,35,Female candidates,0.361644640378
home,100_100,35,Male candidates,0.877289947566
home,100_100,35,Male candidates1,0.356244138273
home,100_100,35,Mothers,0.556211387671
home,100_100,36,Fathers,0.874593743152
home,100_100,36,Female candidates,0.376587972023
home,100_100,36,Male candidates,0.917833677155
home,100_100,36,Male candidates1,0.180393039083
home,100_100,36,Mothers,0.548690201184
home,100_100,37,Fathers,0.895553762648
home,100_100,37,Female candidates,0.370595901815
home,100_100,37,Male candidates,0.967477851495
home,100_100,37,Male candidates1,0.252801051263
home,100_100,37,Mothers,0.550404566631
home,100_100,38,Fathers,0.912198500453
home,100_100,38,Female candidates,0.345394630627
home,100_100,38,Male candidates,0.829744978865
home,100_100,38,Male candidates1,0.24947451714
home,100_100,38,Mothers,0.551107547052
home,100_100,39,Fathers,0.916827630825
home,100_100,39,Female candidates,0.364553176811
home,100_100,39,Male candidates,0.926097808125
home,100_100,39,Male candidates1,0.168268234176
home,100_100,39,Mothers,0.551533620243
home,100_100,40,Fathers,0.875866998426
home,100_100,40,Female candidates,0.368085000516
home,100_100,40,Male candidates,0.918084581619
home,100_100,40,Male candidates1,0.375807490441
home,100_100,40,Mothers,0.54621134014
home,100_100,41,Fathers,0.577307883369
home,100_100,41,Female candidates,0.488764715724
home,100_100,41,Male candidates,0.37453572852
home,100_100,41,Mothers,0.783019784652
home,100_100,42,Fathers,0.61032332411
home,100_100,42,Female candidates,0.329076953741
home,100_100,42,Male candidates,0.744951036229
home,100_100,42,Mothers,0.739231126431
home,100_100,43,Fathers,0.65889432241
home,100_100,43,Female candidates,0.284256243652
home,100_100,43,Male candidates,0.662738994177
home,100_100,43,Mothers,0.704478761819
home,100_100,44,Fathers,0.669789118604
home,100_100,44,Female candidates,0.364966734846
home,100_100,44,Male candidates,0.717383351668
home,100_100,44,Mothers,0.679913759088
home,100_100,45,Fathers,0.452048715622
home,100_100,45,Female candidates,0.358594923656
home,100_100,45,Male candidates,0.668941131861
home,100_100,45,Mothers,0.686000402203
home,100_100,46,Fathers,0.39148904464
home,100_100,46,Female candidates,0.376428480342
home,100_100,46,Male candidates,0.647136621974
home,100_100,46,Mothers,0.688945830437
home,100_100,47,Fathers,0.528321639394
home,100_100,47,Female candidates,0.397994099475
home,100_100,47,Male candidates,0.703003825258
home,100_100,47,Mothers,0.698026964903
home,100_100,48,Fathers,0.575243176173
home,100_100,48,Female candidates,0.380189432414
home,100_100,48,Male candidates,0.754133967848
home,100_100,48,Mothers,0.700575983971
home,100_100,49,Fathers,0.68098888913
home,100_100,49,Female candidates,0.421233493453
home,100_100,49,Male candidates,0.759593913453
home,100_100,49,Mothers,0.704388100018
home,100_100,50,Fathers,0.646289812795
home,100_100,50,Female candidates,0.363815141584
home,100_100,50,Male candidates,0.688940153352
home,100_100,50,Mothers,0.703720199455
home,100_100,51,Fathers,0.563571675939
home,100_100,51,Female candidates,0.360787067076
home,100_100,51,Male candidates,0.754039926426
home,100_100,51,Mothers,0.69718788986
home,100_100,52,Fathers,0.68030601494
home,100_100,52,Female candidates,0.3494814568
home,100_100,52,Male candidates,0.675687010481
home,100_100,52,Mothers,0.688720234225
home,100_100,53,Fathers,0.502427936359
home,100_100,53,Female candidates,0.351009831725
home,100_100,53,Male candidates,0.726655163932
home,100_100,53,Mothers,0.691900359004
home,100_100,54,Fathers,0.639058834938
home,100_100,54,Female candidates,0.355951014159
home,100_100,54,Male candidates,0.684876299253
home,100_100,54,Mothers,0.693591949208
home,100_100,55,Fathers,0.686264912952
home,100_100,55,Female candidates,0.34896186524
home,100_100,55,Male candidates,0.725346656702
home,100_100,55,Mothers,0.692785124393
home,100_100,56,Fathers,0.650139590801
home,100_100,56,Female candidates,0.340782770385
home,100_100,56,Male candidates,0.689867394923
home,100_100,56,Mothers,0.68919002429
home,100_100,57,Fathers,0.665656733897
home,100_100,57,Female candidates,0.386219095609
home,100_100,57,Male candidates,0.713121814285
home,100_100,57,Mothers,0.687565926462
home,100_100,58,Fathers,0.711929172027
home,100_100,58,Female candidates,0.414495267853
home,100_100,58,Male candidates,0.628685627155
home,100_100,58,Mothers,0.691391364749
home,100_100,59,Fathers,0.729512858333
home,100_100,59,Female candidates,0.392141832945
home,100_100,59,Male candidates,0.70338892119
home,100_100,59,Mothers,0.692132264848
home,100_100,60,Fathers,0.736985969847
home,100_100,60,Female candidates,0.388886057724
home,100_100,60,Male candidates,0.723198725534
home,100_100,60,Mothers,0.68866160942
home,100_100,60,izl,0.00244128470634
home,10_10,21,Fathers,-0.232838857528
home,10_10,21,Female candidates,0.139775330168
home,10_10,21,Male candidates,0.136372217876
home,10_10,21,Male candidates1,0.018310097116
home,10_10,21,Mothers,0.376828730284
home,10_10,22,Fathers,-0.031663255626
home,10_10,22,Female candidates,0.136157167934
home,10_10,22,Male candidates,0.0791004489231
home,10_10,22,Male candidates1,-0.125518058034
home,10_10,22,Mothers,0.442969155111
home,10_10,23,Fathers,0.0962541069936
home,10_10,23,Female candidates,0.226703519232
home,10_10,23,Male candidates,0.0561513299818
home,10_10,23,Male candidates1,0.0703645795922
home,10_10,23,Mothers,0.525858228051
home,10_10,24,Fathers,0.560851308253
home,10_10,24,Female candidates,0.368808715682
home,10_10,24,Male candidates,0.842814714818
home,10_10,24,Male candidates1,0.325455852481
home,10_10,24,Mothers,0.641258155825
home,10_10,25,Fathers,0.676783339994
home,10_10,25,Female candidates,0.424856246947
home,10_10,25,Male candidates,0.920438808186
home,10_10,25,Male candidates1,0.418781661676
home,10_10,25,Mothers,0.648086689826
home,10_10,26,Fathers,0.768216866106
home,10_10,26,Female candidates,0.421692353943
home,10_10,26,Male candidates,0.926113464738
home,10_10,26,Male candidates1,0.231680136634
home,10_10,26,Mothers,0.623172220007
home,10_10,27,Fathers,0.870797605045
home,10_10,27,Female candidates,0.422422944753
home,10_10,27,Male candidates,0.934720742645
home,10_10,27,Male candidates1,0.147463737473
home,10_10,27,Mothers,0.572267184572
home,10_10,28,Fathers,0.905856398745
home,10_10,28,Female candidates,0.387879435951
home,10_10,28,Male candidates,0.95203787317
home,10_10,28,Male candidates1,0.396974068939
home,10_10,28,Mothers,0.587996278707
home,10_10,29,Fathers,0.921081010223
home,10_10,29,Female candidates,0.409550975783
home,10_10,29,Male candidates,0.900098780614
home,10_10,29,Male candidates1,0.309121426895
home,10_10,29,Mothers,0.583048996055
home,10_10,30,Fathers,0.892735489518
home,10_10,30,Female candidates,0.424866392293
home,10_10,30,Male candidates,0.886872895324
home,10_10,30,Male candidates1,0.415438632293
home,10_10,30,Mothers,0.577070327289
home,10_10,31,Fathers,0.814460829565
home,10_10,31,Female candidates,0.431053015756
home,10_10,31,Male candidates,0.893902651758
home,10_10,31,Male candidates1,0.387147193265
home,10_10,31,Mothers,0.574414090809
home,10_10,32,Fathers,0.777779852205
home,10_10,32,Female candidates,0.399160071074
home,10_10,32,Male candidates,0.940362420297
home,10_10,32,Male candidates1,0.206322454083
home,10_10,32,Mothers,0.578632912529
home,10_10,33,Fathers,0.85220765315
home,10_10,33,Female candidates,0.347388818802
home,10_10,33,Male candidates,0.860314755055
home,10_10,33,Male candidates1,0.156436349396
home,10_10,33,Mothers,0.574434155825
home,10_10,34,Fathers,0.850207857514
home,10_10,34,Female candidates,0.36806400494
home,10_10,34,Male candidates,0.909020254626
home,10_10,34,Male candidates1,0.268647647258
home,10_10,34,Mothers,0.570198338068
home,10_10,35,Fathers,0.870579043545
home,10_10,35,Female candidates,0.361644640378
home,10_10,35,Male candidates,0.877289947566
home,10_10,35,Male candidates1,0.356244138273
home,10_10,35,Mothers,0.556211387671
home,10_10,36,Fathers,0.874593743152
home,10_10,36,Female candidates,0.376587972023
home,10_10,36,Male candidates,0.917833677155
home,10_10,36,Male candidates1,0.180393039083
home,10_10,36,Mothers,0.548690201184
home,10_10,37,Fathers,0.895553762648
home,10_10,37,Female candidates,0.370595901815
home,10_10,37,Male candidates,0.967477851495
home,10_10,37,Male candidates1,0.252801051263
home,10_10,37,Mothers,0.550404566631
home,10_10,38,Fathers,0.912198500453
home,10_10,38,Female candidates,0.345394630627
home,10_10,38,Male candidates,0.829744978865
home,10_10,38,Male candidates1,0.24947451714
home,10_10,38,Mothers,0.551107547052
home,10_10,39,Fathers,0.916827630825
home,10_10,39,Female candidates,0.364553176811
home,10_10,39,Male candidates,0.926097808125
home,10_10,39,Male candidates1,0.168268234176
home,10_10,39,Mothers,0.551533620243
home,10_10,40,Fathers,0.875866998426
home,10_10,40,Female candidates,0.368085000516
home,10_10,40,Male candidates,0.918084581619
home,10_10,40,Male candidates1,0.375807490441
home,10_10,40,Mothers,0.54621134014
home,10_10,41,Fathers,0.627654507601
home,10_10,41,Female candidates,0.490184287779
home,10_10,41,Male candidates,0.386943821289
home,10_10,41,Mothers,0.78658395296
home,10_10,42,Fathers,0.69179029895
home,10_10,42,Female candidates,0.352756244549
home,10_10,42,Male candidates,0.789540200894
home,10_10,42,Mothers,0.740935010162
home,10_10,43,Fathers,0.815993486573
home,10_10,43,Female candidates,0.375069704205
home,10_10,43,Male candidates,0.731111148941
home,10_10,43,Mothers,0.705232621428
home,10_10,44,Fathers,0.866665214586
home,10_10,44,Female candidates,0.439047396225
home,10_10,44,Male candidates,0.785310751892
home,10_10,44,Mothers,0.687729514235
home,10_10,45,Fathers,0.867407413089
home,10_10,45,Female candidates,0.497731085031
home,10_10,45,Male candidates,0.777058425172
home,10_10,45,Mothers,0.697479267454
home,10_10,46,Fathers,0.880592556633
home,10_10,46,Female candidates,0.461305416447
home,10_10,46,Male candidates,0.755971600858
home,10_10,46,Mothers,0.707140162453
home,10_10,47,Fathers,0.842972080645
home,10_10,47,Female candidates,0.459967923221
home,10_10,47,Male candidates,0.78696533488
