scenario,Group,Generation,gvNormUnres1,gvNormUnres3
0_100,home,35,8.31614393405,6.830910331
0_100,home,36,6.54411941346,5.55383540188
0_100,home,37,6.5587600272375,5.0280509651875
0_100,home,38,6.73194085546,5.05332647896
0_100,home,39,7.21381045472,5.07058664444
0_100,home,40,6.923232174920001,5.276941227459999
0_100,home,41,9.11504299926,8.046880228620001
0_100,home,42,8.80293190808,7.9432983233200005
0_100,home,43,10.83630435676,10.06999217412
0_100,home,44,10.177630124299998,9.61742099522
0_100,home,45,9.988602961079998,10.27604210012
0_100,home,46,11.21794333018,10.336378350499999
0_100,home,47,10.20866147048,9.38463182068
0_100,home,48,10.961515072380001,10.414627137120002
0_100,home,49,11.34177197404,10.60056574218
0_100,home,50,12.020943833439999,11.80146524816
0_100,home,51,12.06102361174,11.200039670859999
0_100,home,52,12.7970177723,12.596233284779998
0_100,home,53,12.574616866399998,11.9625277786
0_100,home,54,12.7979609546,12.86620196286
0_100,home,55,13.125163597439998,12.219997028440002
0_100,home,56,13.10212997488,12.98268737962
0_100,home,57,13.53043796098,13.784701818140002
0_100,home,58,15.06887633764,14.509453821940003
0_100,import,35,7.238957436063332,8.400934361503335
0_100,import,36,7.243419415699998,8.3811671759
0_100,import,37,7.509610831260001,8.459230865624999
0_100,import,38,7.975601410153332,9.045845590883333
0_100,import,39,7.68011664673,8.63845205182333
0_100,import,40,7.8725423739133324,8.995596970250002
0_100,import,41,9.015511712656664,10.3150203984
0_100,import,42,9.039871567923333,10.140432531890001
0_100,import,43,9.423925347173332,10.84341181458
0_100,import,44,9.523904802963331,10.917968258463333
0_100,import,45,10.062959010093332,11.358184521640002
0_100,import,46,10.512820248406666,11.924407064063335
0_100,import,47,10.655565947233333,12.26917906912667
0_100,import,48,10.736832295163333,12.141287321006665
0_100,import,49,11.05364704775,12.478993359209996
0_100,import,50,11.480955456103334,13.266102875286666
0_100,import,51,11.424538844339999,13.442513633386666
0_100,import,52,11.48424536486,13.660656964110002
0_100,import,53,12.31381783009,14.439518971693337
0_100,import,54,12.602574390173334,14.389364888670002
0_100,import,55,12.374388686526668,14.621837223903334
0_100,import,56,12.679290119966664,14.678462294820001
0_100,import,57,13.021060747216668,15.100170653020001
0_100,import,58,13.053346406160001,15.452579217886669
100_100,home,35,8.31614393405,6.830910331
100_100,home,36,6.54411941346,5.55383540188
100_100,home,37,6.5587600272375,5.0280509651875
100_100,home,38,6.73194085546,5.05332647896
100_100,home,39,7.21381045472,5.07058664444
100_100,home,40,6.923232174920001,5.276941227459999
100_100,home,41,9.728595570600001,9.441020958260001
100_100,home,42,8.80959167114,7.750240722959999
100_100,home,43,9.526291608200001,8.767118027040002
100_100,home,44,9.64435822828,8.74704619456
100_100,home,45,10.050630173119998,10.03772046186
100_100,home,46,11.02615087096,10.77992899974
100_100,home,47,11.158196585119999,10.91619251538
100_100,home,48,12.37763020774,12.21948611746
100_100,home,49,11.219870320199998,11.274273951739998
100_100,home,50,11.334284592760001,11.929415759440001
100_100,home,51,11.00229423252,11.630486806739999
100_100,home,52,12.2130202063,12.50781443984
100_100,home,53,12.896585381840001,12.606144341400002
100_100,home,54,11.65428235036,11.91096197928
100_100,home,55,12.853637654800002,13.215145274200001
100_100,home,56,14.319689765940002,15.190193601039999
100_100,home,57,14.06125227176,14.552426620119999
100_100,home,58,14.65055748652,16.110693818660003
100_100,import,35,7.238957436063332,8.400934361503335
100_100,import,36,7.243419415699998,8.3811671759
100_100,import,37,7.509610831260001,8.459230865624999
100_100,import,38,7.975601410153332,9.045845590883333
100_100,import,39,7.68011664673,8.63845205182333
100_100,import,40,7.824302203163332,9.002520859103333
100_100,import,41,8.818561126449998,10.141225254966667
100_100,import,42,9.019585899066668,10.314338193573333
100_100,import,43,9.019909033189998,10.735166052156664
100_100,import,44,9.587086512920001,10.847224523326663
100_100,import,45,9.9506268173,11.65079411275333
100_100,import,46,9.775350295806664,11.478736871086666
100_100,import,47,10.195734937753333,12.21411111411
100_100,import,48,10.484869024093333,12.35934169509667
100_100,import,49,10.48362882013,12.49619432862
100_100,import,50,11.379069623203334,13.242330571846669
100_100,import,51,11.446573627433333,13.474748268696667
100_100,import,52,11.813311241196667,13.648686442109998
100_100,import,53,11.534407659846664,13.835477098833335
100_100,import,54,12.569662642079999,14.32132939606
100_100,import,55,12.33575925967,14.65445531441
100_100,import,56,12.514441134966667,14.975321116500002
100_100,import,57,13.10883350051667,15.4485314188
100_100,import,58,13.357687894286666,15.448419299573336
10_10,home,35,8.31614393405,6.830910331
10_10,home,36,6.54411941346,5.55383540188
10_10,home,37,6.5587600272375,5.0280509651875
10_10,home,38,6.73194085546,5.05332647896
10_10,home,39,7.21381045472,5.07058664444
10_10,home,40,6.923232174920001,5.276941227459999
10_10,home,41,8.803811035999999,6.63507811904
10_10,home,42,9.524101013880001,7.33073048558
10_10,home,43,8.86723396276,6.50859634862
10_10,home,44,9.471141993020002,7.17550886234
10_10,home,45,10.63816544972,8.567513866439999
10_10,home,46,10.69120010568,7.894415477039999
10_10,home,47,11.87110895088,10.24130201448
10_10,home,48,10.60232162674,7.75313641106
10_10,home,49,11.552328443579999,9.9697398269
10_10,home,50,11.33222060026,8.787713506520001
10_10,home,51,11.973064114740001,9.249295362180002
10_10,home,52,13.70660816578,10.4824308557
10_10,home,53,13.09257860614,10.69779481406
10_10,home,54,13.45071725052,10.95146805106
10_10,home,55,11.921698903000001,9.42988915606
10_10,home,56,13.44083641432,11.7657641308
10_10,home,57,13.47967590016,10.47443826498
10_10,home,58,14.391999724119998,11.521108116799999
10_10,import,35,7.238957436063332,8.400934361503335
10_10,import,36,7.243419415699998,8.3811671759
10_10,import,37,7.509610831260001,8.459230865624999
10_10,import,38,7.975601410153332,9.045845590883333
10_10,import,39,7.68011664673,8.63845205182333
10_10,import,40,8.001247611090001,9.150986826120002
10_10,import,41,8.63584390854,10.180085863639999
10_10,import,42,8.98454742044,10.590669951633334
10_10,import,43,9.279776093223331,10.646614633333334
10_10,import,44,9.153953451596667,10.441751986646667
10_10,import,45,9.919895084776671,11.417715892833334
10_10,import,46,10.306483463123335,11.621937582520001
10_10,import,47,10.259857777623333,12.036620559333329
10_10,import,48,10.474177281996667,12.305459234756665
10_10,import,49,10.89955633439,12.82893923033
10_10,import,50,10.74155519073333,12.50867061186
10_10,import,51,11.468765873736665,13.365927318046666
10_10,import,52,11.899348942706668,13.55630969084
10_10,import,53,11.383543969683334,13.628030449540002
10_10,import,54,12.046790725356667,14.034754999613334
10_10,import,55,12.25545375718,14.240253669223335
10_10,import,56,12.536359487456666,14.693526697186662
10_10,import,57,12.471782562593331,15.08309110378667
10_10,import,58,12.965540214133332,15.305088845656671
50_50,home,35,8.31614393405,6.830910331
50_50,home,36,6.54411941346,5.55383540188
50_50,home,37,6.5587600272375,5.0280509651875
50_50,home,38,6.73194085546,5.05332647896
50_50,home,39,7.21381045472,5.07058664444
50_50,home,40,6.923232174920001,5.276941227459999
50_50,home,41,8.660774763620001,7.592608372719999
50_50,home,42,8.234021854739998,6.34435958718
50_50,home,43,9.87167419822,8.53332154618
50_50,home,44,9.10958080468,7.3777189679
50_50,home,45,9.82129074756,8.86784864818
50_50,home,46,10.7515712905,9.46955106642
50_50,home,47,10.07885862394,9.37445000238
50_50,home,48,10.21155765106,10.102043030539999
50_50,home,49,11.85800895376,11.01906720306
50_50,home,50,10.9645053625,9.912238522039999
50_50,home,51,11.252939130720002,10.500906679520002
50_50,home,52,12.26592782124,11.678167112999999
50_50,home,53,12.17638555838,11.073591384340002
50_50,home,54,13.61828949402,13.684773167199998
50_50,home,55,13.021674974980002,12.02837843394
50_50,home,56,12.18702469422,11.98756091876
50_50,home,57,13.96639849808,13.520478465579998
50_50,home,58,14.10179147066,13.41584646138
50_50,import,35,7.238957436063332,8.400934361503335
50_50,import,36,7.243419415699998,8.3811671759
50_50,import,37,7.509610831260001,8.459230865624999
50_50,import,38,7.975601410153332,9.045845590883333
50_50,import,39,7.68011664673,8.63845205182333
50_50,import,40,7.823531242056665,9.00483608482
50_50,import,41,8.997381549246665,10.639785441199999
50_50,import,42,9.057500872309998,10.565041366566666
50_50,import,43,9.384450320436663,10.800892058383335
50_50,import,44,9.386758479523333,10.92745505006
50_50,import,45,9.90374663333,11.472339813690002
50_50,import,46,10.435376811703334,11.881876526656663
50_50,import,47,10.18140855630667,12.104733598083335
50_50,import,48,10.800941305890001,12.286908660103334
50_50,import,49,10.464862329030002,12.119986927496667
50_50,import,50,11.348964863493332,13.479048515096666
50_50,import,51,11.439380846866662,13.131533425610002
50_50,import,52,11.533310771939998,13.525496983919998
50_50,import,53,11.938150838223333,13.941319784993338
50_50,import,54,12.002826613133331,14.37571594658
50_50,import,55,12.332101977223337,14.414250555380002
50_50,import,56,12.480007859179999,15.14576596768667
50_50,import,57,12.740057086256668,15.147938969096664
50_50,import,58,13.15898467906,15.421615408583332
